sample size,MLE,MVUE,MOM
5,170.098,129.73839999999998,205.41759999999996
10,89.137,68.81490000000004,144.129
20,46.155,35.70105000000001,103.2787
50,19.291,14.188260000000005,62.936479999999996
100,8.897,6.803610000000012,42.812200000000004
